movie,studio,foreign_gross,year,id_x,release_date_x,production_budget,domestic_gross,worldwide_gross,Unnamed: 0,genre_ids,id_y,original_language,popularity,release_date_y,title,vote_average,vote_count,parsed_genres
Toy Story 3,BV,652000000.0,2010,47,2010-06-18,200000000,415004880,1068879522,7,"[16, 10751, 35]",10193,en,24.445,2010-06-17,Toy Story 3,7.7,8340,"[16, 10751, 35]"
Inception,WB,535700000.0,2010,38,2010-07-16,160000000,292576195,835524642,4,"[28, 878, 12]",27205,en,27.92,2010-07-16,Inception,8.3,22186,"[28, 878, 12]"
Shrek Forever After,P/DW,513900000.0,2010,27,2010-05-21,165000000,238736787,756244673,38,"[35, 12, 14, 16, 10751]",10192,en,15.040999999999999,2010-05-16,Shrek Forever After,6.1,3843,"[35, 12, 14, 16, 10751]"
The Twilight Saga: Eclipse,Sum.,398000000.0,2010,53,2010-06-30,68000000,300531751,706102828,15,"[12, 14, 18, 10749]",24021,en,20.34,2010-06-23,The Twilight Saga: Eclipse,6.0,4909,"[12, 14, 18, 10749]"
Iron Man 2,Par.,311500000.0,2010,15,2010-05-07,170000000,312433331,621156389,2,"[12, 28, 878]",10138,en,28.515,2010-05-07,Iron Man 2,6.8,12368,"[12, 28, 878]"
Tangled,BV,391000000.0,2010,15,2010-11-24,260000000,200821936,586477240,13,"[16, 10751]",38757,en,21.511,2010-11-24,Tangled,7.5,6407,"[16, 10751]"
Despicable Me,Uni.,291600000.0,2010,50,2010-07-09,69000000,251513985,543464573,8,"[16, 10751, 35]",20352,en,23.673000000000002,2010-07-09,Despicable Me,7.2,10057,"[16, 10751, 35]"
How to Train Your Dragon,P/DW,277300000.0,2010,30,2010-03-26,165000000,217581232,494870992,1,"[14, 12, 16, 10751]",10191,en,28.734,2010-03-26,How to Train Your Dragon,7.7,7610,"[14, 12, 16, 10751]"
The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,311300000.0,2010,48,2010-12-10,155000000,104386950,418186950,22,"[12, 10751, 14]",10140,en,17.382,2010-12-10,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.3,3196,"[12, 10751, 14]"
The Karate Kid,Sony,182500000.0,2010,77,2010-06-11,40000000,176591618,351774938,76,"[28, 12, 18, 10751]",38575,en,12.255999999999998,2010-06-10,The Karate Kid,6.3,3140,"[28, 12, 18, 10751]"
The Karate Kid,Sony,182500000.0,2010,63,1984-06-22,8000000,90815558,90815558,76,"[28, 12, 18, 10751]",38575,en,12.255999999999998,2010-06-10,The Karate Kid,6.3,3140,"[28, 12, 18, 10751]"
Black Swan,FoxS,222400000.0,2010,46,2010-12-03,13000000,106954678,331266710,47,"[18, 53]",44214,en,13.745,2010-12-03,Black Swan,7.6,8374,"[18, 53]"
Megamind,P/DW,173500000.0,2010,47,2010-11-05,130000000,148415853,321887208,9,"[16, 28, 35, 10751, 878]",38055,en,22.855,2010-11-04,Megamind,6.8,3635,"[16, 28, 35, 10751, 878]"
Robin Hood,Uni.,216400000.0,2010,39,2010-05-14,210000000,105487148,322459006,36,"[28, 12, 18]",20662,en,15.444,2010-05-14,Robin Hood,6.3,2569,"[28, 12, 18]"
Robin Hood,Uni.,216400000.0,2010,39,2010-05-14,210000000,105487148,322459006,23822,"[12, 28, 53]",375588,en,39.975,2018-11-21,Robin Hood,5.8,1194,"[12, 28, 53]"
Robin Hood,Uni.,216400000.0,2010,9,2018-11-21,99000000,30824628,84747441,36,"[28, 12, 18]",20662,en,15.444,2010-05-14,Robin Hood,6.3,2569,"[28, 12, 18]"
Robin Hood,Uni.,216400000.0,2010,9,2018-11-21,99000000,30824628,84747441,23822,"[12, 28, 53]",375588,en,39.975,2018-11-21,Robin Hood,5.8,1194,"[12, 28, 53]"
The Last Airbender,Par.,187900000.0,2010,83,2010-07-01,150000000,131772187,319713881,27,"[28, 12, 10751, 14]",10196,en,16.595,2010-07-01,The Last Airbender,4.6,2143,"[28, 12, 10751, 14]"
Little Fockers,Uni.,162200000.0,2010,70,2010-12-22,100000000,148438600,310650574,80,"[35, 10749]",39451,en,12.152999999999999,2010-12-21,Little Fockers,5.6,1883,"[35, 10749]"
Resident Evil: Afterlife,SGem,240100000.0,2010,70,2010-09-10,57500000,60128566,295874190,1629,"[28, 12, 27, 878]",35791,en,0.667,2010-09-10,Resident Evil: Afterlife,5.9,2119,"[28, 12, 27, 878]"
Shutter Island,Par.,166800000.0,2010,52,2010-02-19,80000000,128012934,299461782,19,"[18, 53, 9648]",11324,en,18.06,2010-02-18,Shutter Island,8.1,12625,"[18, 53, 9648]"
Salt,Sony,175200000.0,2010,50,2010-07-23,130000000,118311368,290650494,63,"[28, 9648, 53]",27576,en,13.025,2010-07-23,Salt,6.3,3240,"[28, 9648, 53]"
Salt,Sony,175200000.0,2010,50,2010-07-23,130000000,118311368,290650494,6948,"[53, 80]",56893,en,0.632,2012-08-06,Salt,1.0,1,"[53, 80]"
Sex and the City 2,WB (NL),193000000.0,2010,16,2010-05-27,95000000,95347692,294680778,137,"[35, 18, 10749]",37786,en,9.986,2010-05-27,Sex and the City 2,5.9,809,"[35, 18, 10749]"
The Tourist,Sony,210700000.0,2010,85,2010-12-10,100000000,67631157,278731369,118,"[28, 53, 10749]",37710,en,10.307,2010-12-10,The Tourist,6.1,3133,"[28, 53, 10749]"
The Expendables,LGF,171400000.0,2010,34,2010-08-13,82000000,103068524,268268174,12,"[53, 12, 28]",27578,en,21.517,2010-08-03,The Expendables,6.1,4647,"[53, 12, 28]"
Grown Ups,Sony,109400000.0,2010,34,2010-06-25,75000000,162001186,272223430,42,[35],38365,en,14.290999999999999,2010-06-24,Grown Ups,6.1,3171,[35]
True Grit,Par.,81000000.0,2010,29,2010-12-22,35000000,171243005,252276928,59,"[18, 12, 37]",44264,en,13.118,2010-12-22,True Grit,7.2,2816,"[18, 12, 37]"
Gulliver's Travels,Fox,194600000.0,2010,13,2010-12-25,112000000,42779261,232017848,105,"[35, 12, 10751, 14]",38745,en,10.767999999999999,2010-12-25,Gulliver's Travels,5.1,1282,"[35, 12, 10751, 14]"
The Social Network,Sony,128000000.0,2010,91,2010-10-01,40000000,96962694,224922135,29,[18],37799,en,15.889000000000001,2010-10-01,The Social Network,7.2,6116,[18]
Valentine's Day,WB (NL),106000000.0,2010,70,2010-02-12,52000000,110485654,217569328,99,"[35, 10749]",32856,en,11.187000000000001,2010-02-11,Valentine's Day,5.8,1907,"[35, 10749]"
The Sorcerer's Apprentice,BV,152100000.0,2010,44,2010-07-14,160000000,63150991,217986320,40,"[14, 12, 28, 35, 18]",27022,en,14.463,2010-07-13,The Sorcerer's Apprentice,5.9,2879,"[14, 12, 28, 35, 18]"
Due Date,WB,111200000.0,2010,84,2010-11-05,65000000,100539043,211739043,72,"[35, 18]",41733,en,12.445,2010-11-04,Due Date,6.3,2973,"[35, 18]"
Eat Pray Love,Sony,124000000.0,2010,67,2010-08-13,60000000,80574010,206598789,136,[18],38167,en,9.991,2010-08-12,Eat Pray Love,6.0,1208,[18]
Yogi Bear,WB,101300000.0,2010,62,2010-12-17,80000000,100246011,204774690,173,"[35, 10751, 16, 12]",41515,en,9.096,2010-12-17,Yogi Bear,5.3,387,"[35, 10751, 16, 12]"
Red,Sum.,108600000.0,2010,63,2010-10-15,60000000,90380162,196439693,13867,[],409647,en,0.6,2014-01-01,Red,5.0,1,[]
Paranormal Activity 2,Par.,92800000.0,2010,65,2010-10-20,3000000,84752907,177512032,228,"[27, 53]",41436,en,8.163,2010-10-21,Paranormal Activity 2,5.7,1342,"[27, 53]"
The A-Team,Fox,100000000.0,2010,32,2010-06-11,110000000,77222099,177241171,24,"[53, 28, 12, 35, 80]",34544,en,17.097,2010-06-11,The A-Team,6.3,2703,"[53, 28, 12, 35, 80]"
The Other Guys,Sony,51200000.0,2010,74,2010-08-06,100000000,119219978,170936470,51,"[28, 35, 80]",27581,en,13.508,2010-08-06,The Other Guys,6.2,2187,"[28, 35, 80]"
Unstoppable,Fox,86200000.0,2010,19,2010-11-12,95000000,81562942,165720921,46,"[28, 53]",44048,en,14.01,2010-11-12,Unstoppable,6.4,1913,"[28, 53]"
Unstoppable,Fox,86200000.0,2010,19,2010-11-12,95000000,81562942,165720921,10970,[99],217664,en,0.6,2013-09-24,Unstoppable,1.6,4,[99]
The Book of Eli,WB,62300000.0,2010,64,2010-01-15,80000000,94835059,158750817,16,"[28, 53, 878]",20504,en,18.985,2010-01-11,The Book of Eli,6.7,3495,"[28, 53, 878]"
